"№ Строки","Улица","№ дома","Начислено"
"1","Ленина","1","135.28"
"2","Ленина","1","301.26"
"3","Ленина","2","220.4"
"4","Пушкина","34","117.04"
"5","Пушкина","35","174.8"
"6","Пушкина","36","301.26"
"7","Ленина","1","121.6"
"8","Ленина","1","226.48"
"9","Ленина","2","301.26"
"10","Пушкина","34","193.04"
"11","Пушкина","35","209.76"
"12","Пушкина","36","301.26"
"13","Ленина","1","106.4"
"14","Ленина","1","161.12"
"15","Ленина","2","176.32"
"16","Пушкина","34","301.26"
"17","Пушкина","35","130.72"
"18","Пушкина","36","301.26"
"19","Ленина","1","114.0"
"20","Ленина","1","107.92"
"21","Ленина","2","132.24"
"22","Пушкина","34","301.26"
"23","Пушкина","35","205.2"
"24","Пушкина","36","301.26"
"25","Ленина","1","127.68"
"26","Ленина","1","223.44"
"27","Ленина","2","301.26"
"28","Пушкина","34","200.64000000000001"
"29","Пушкина","35","301.26"
